buyer,category,n_tenders,technology_score
Dirección General del Servicio Exterior,Other,64,0
Gerencia del Área de Salud de Don Benito,Other,64,0
Aena. Dirección del Aeropuerto de Reus,Other,63,0
Alcaldia del Ayuntamiento de Don Benito,Other,63,0
Concejal de Contratación del Ayuntamiento de Pinto,Other,63,0
Concejalía Delegada de Contratación del Ayuntamiento de Mijas,Other,63,0
"Consejo de Administración de Aguas de las Cuencas Mediterráneas, S.M.E., S.A. (ACUAMED)",Other,63,0
"Consejo de Administración de Seromal, S.A. Municipal de Construcciones y Conservación de Alcobendas",Other,63,0
"Delegación Provincial de la Consejería de Educación, Cultura y Deportes en Ciudad Real",Other,63,0
Gerencia del Área Sanitaria IV del Servicio de Salud del Principado de Asturias,Other,63,0
Jefatura de la Sección Económico-Administrativa 26 - Base Aérea de Zaragoza (Agrupación BASE),Other,63,0
Junta de Gobierno Local del Ayuntamiento de Colmenar Viejo,Other,63,0
Junta de Gobierno del Ayuntamiento de Boadilla del Monte,Other,63,0
Junta de Gobierno del Ayuntamiento de Lugo,Other,63,0
Presidencia de la Confederación Hidrográfica del Segura,Other,63,0
Sección de Asuntos Económicos del Parque y Centro de Abastecimiento de Material de Intendencia,Other,63,0
Subdirección General de Planificacion y Gestion de Infraestructuras y Medios para la Seguridad,Other,63,0
Alcaldía del Ayuntamiento de Atarfe,Other,62,0
Alcaldía del Ayuntamiento de Collado Villalba,Other,62,0
"Departamento de Educación, Cultura y Deporte",Other,62,0
Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),Software & Development,62,72
Junta de Gobierno Local del Ayuntamiento de Calahorra,Other,62,0
Junta de Gobierno del Ayuntamiento de Cuenca,Other,62,0
Organismo Autónomo Gerencia Municipal de Urbanismo del Ayuntamiento de San Cristóbal de la Laguna,Other,62,0
Subdirección General de Medios de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151,Other,62,0
Alcaldía del Ayuntamiento de Avilés,Other,61,0
Alcaldía del Ayuntamiento de San Bartolomé de Lanzarote,Other,61,0
Alcaldía del Ayuntamiento de San Miguel de Abona,Other,61,0
Dirección Gerencia del Departamento de Salud de la Ribera de la Conselleria de Sanidad de la Generalitat Valenciana,Other,61,0
"Gerencia de Mutua Navarra, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social 21",Other,61,0
"Gerencia de la Entidad Estatal de Derecho Público Trabajo Penitenciario y Formación para el Empleo, M.P.",Other,61,0
Jefatura de la Sección Económico-Administrativa 62 - Base Aérea de Cuatro Vientos,Other,61,0
Junta de Gobierno Local del Ayuntamiento de Caspe,Other,61,0
Junta de Gobierno del Ayuntamiento de Huelva,Other,61,0
Junta de Gobierno del Ayuntamiento de Santa Cruz de Tenerife,Other,61,0
Presidencia de la Autoridad Portuaria de Castellón,Other,61,0
Aena. Dirección del Aeropuerto de Jerez,Other,60,0
Aena. Dirección del Aeropuerto de Vigo,Other,60,0
Alcaldía del Ayuntamiento de la Villa de Ingenio,Other,60,0
Gerencia Regional de Salud de Castilla y León,Other,60,0
Presidencia de la Diputación Provincial de Huesca,Other,60,0
Rectorado de la Universidad Rey Juan Carlos,Other,60,0
Rectorado de la Universidad de Huelva,Other,60,0
Secretaria General del Servicio de Salud de Castilla-La Mancha,Other,60,0
Subdirección General de la Oficina Presupuestaria y Gestión Económica,Other,60,0
"Vicepresidente Tercero y Conseller de Medio Ambiente, Infraestructuras, Territorio y de la Recuperación",Other,60,0
Aena. Dirección del Aeropuerto de César Manrique Lanzarote,Other,59,0
Aena. Dirección del Aeropuerto de Granada-Jaén F.G.L.,Other,59,0
Alcaldia del Ayuntamiento de Mérida,Other,59,0
Alcaldía del Ayuntamiento de la Línea de la Concepción,Other,59,0
Consejo de Administración de Promoción de la Ciudad de Las Palmas de Gran Canaria S.A.,Other,59,0
Dirección General de la Fundación Palau de Les Arts Reina Sofía,Other,59,0
Presidencia de la Diputación Provincial de Ciudad Real,Other,59,0
Promotur Turismo Canarias S.A.,Other,59,0
Xunta de Goberno do Concello de Santiago de Compostela,Other,59,0
Alcaldía del Ayuntamiento de Azuqueca de Henares,Other,58,0
Alcaldía del Ayuntamiento de Illescas,Other,58,0
Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario,Other,58,0
Departamento de Salud La Fe. Dirección Económica-Gerencia,Other,58,0
Departamentos del Consell Insular de Mallorca,Other,58,0
"Dirección General de Biodiversidad, Bosques y Desertificación",Other,58,0
Dirección de la Sociedad de Salvamento y Seguridad Marítima,Other,58,0
"Dirección Área Jurídica y Prestación de MAZ, Mutua Colaboradora con la Seguridad Social, Nº 11",Other,58,0
Director Gerente de Mutua Intercomarcal MATEPSS Nº 39,Other,58,0
"Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, S.A.",Other,58,0
Junta de Gobierno Local del Ayuntamiento de Ferrol,Other,58,0
Junta de Gobierno Local del Ayuntamiento de Lorca,Other,58,0
